Name,Package URL,Github,ecosystem,id,number,userlogin,usertype,author_association,created_at,state,isGoodFirstLabelExists
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,1435740990,605,alguerocode,User,NONE,closed,false
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,1412070777,603,silverwind,User,CONTRIBUTOR,closed,false
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,1391824008,600,lukekarrys,User,NONE,open,false
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,1300805203,594,matthargett,User,NONE,closed,false
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,1154587468,581,sashashura,User,NONE,closed,false
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,1151561194,580,idanran,User,CONTRIBUTOR,closed,false
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,1151477425,579,idanran,User,CONTRIBUTOR,closed,false
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,1516640447,943,bdelville,User,NONE,closed,false
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,1490045796,942,jmeyre,User,NONE,open,false
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,1478479432,941,asma-ctrl,User,NONE,closed,false
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,1443122319,938,mitant,User,NONE,open,false
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,1443048718,937,brandonjfeldkamp,User,NONE,open,false
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,1356479114,934,wj0990,User,NONE,closed,false
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,1237912772,926,calvintwr,User,NONE,open,false
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,1110225235,915,webketje,User,NONE,open,false
fs-extra,https://www.npmjs.com/package/fs-extra,https://github.com/jprichardson/node-fs-extra,npm,1575875612,1026,SukkaW,User,CONTRIBUTOR,open,false
fs-extra,https://www.npmjs.com/package/fs-extra,https://github.com/jprichardson/node-fs-extra,npm,1572150467,1025,SukkaW,User,CONTRIBUTOR,closed,false
